strategy_id,interval,cadence_acknowledged,window_days,total_trades,winning_trades,losing_trades,win_rate,avg_win_pct,avg_loss_pct,expectancy,profit_factor,total_pnl_pct,total_pnl_tao,max_drawdown_pct,sharpe_ratio,avg_hold_hours,max_concurrent,avg_entry_z_score,avg_entry_flow_pct,pct_blocked_by_regime,pct_blocked_by_magnitude_cap,pct_blocked_by_cold_start,mean_snapshots_to_first_signal_per_subnet,ema_overlap_rate,pot_growth_tao,pot_growth_pct,total_fees_tao,z_entry,min_tao_pct,stop_loss_pct,take_profit_pct,regime_filter_enabled
flow,1d,True,120,136,71,65,52.21,4.79,-3.27,0.9362,1.5847,41.15,4.1151,11.93,2.7424,26.0,3,2.289,1829.472,1.94,0.27,49.98,81.4,0.0,4.1151,41.15,0.0816,1.5,1.0,4.0,8.0,True
flow,1d,True,120,138,72,66,52.17,4.82,-3.19,0.9899,1.6347,44.2,4.4204,11.93,2.9203,26.0,3,2.278,1814.09,0.0,0.25,49.95,81.3,0.0,4.4204,44.2,0.0828,1.5,1.0,4.0,8.0,False
flow,1d,True,120,136,70,66,51.47,4.74,-3.25,0.8663,1.5365,38.02,3.8017,11.93,2.5401,26.2,3,2.289,1829.472,1.94,0.27,50.08,81.4,0.0,3.8017,38.02,0.0816,1.5,1.0,4.0,12.0,True
flow,1d,True,120,138,71,67,51.45,4.78,-3.16,0.9211,1.5856,41.07,4.1069,11.93,2.7196,26.2,3,2.278,1814.09,0.0,0.25,50.04,81.3,0.0,4.1069,41.07,0.0828,1.5,1.0,4.0,12.0,False
flow,1d,True,120,136,71,65,52.21,4.79,-3.27,0.9362,1.5847,41.15,4.1151,11.93,2.7424,26.0,3,2.289,1829.472,1.94,0.27,49.98,81.4,0.0,4.1151,41.15,0.0816,1.5,1.0,6.0,8.0,True
flow,1d,True,120,138,72,66,52.17,4.82,-3.19,0.9899,1.6347,44.2,4.4204,11.93,2.9203,26.0,3,2.278,1814.09,0.0,0.25,49.95,81.3,0.0,4.4204,44.2,0.0828,1.5,1.0,6.0,8.0,False
flow,1d,True,120,136,70,66,51.47,4.74,-3.25,0.8663,1.5365,38.02,3.8017,11.93,2.5401,26.2,3,2.289,1829.472,1.94,0.27,50.08,81.4,0.0,3.8017,38.02,0.0816,1.5,1.0,6.0,12.0,True
flow,1d,True,120,138,71,67,51.45,4.78,-3.16,0.9211,1.5856,41.07,4.1069,11.93,2.7196,26.2,3,2.278,1814.09,0.0,0.25,50.04,81.3,0.0,4.1069,41.07,0.0828,1.5,1.0,6.0,12.0,False
flow,1d,True,120,136,71,65,52.21,4.79,-3.27,0.9362,1.5847,41.15,4.1151,11.93,2.7424,26.0,3,2.289,1829.472,1.94,0.27,49.98,81.4,0.0,4.1151,41.15,0.0816,1.5,1.0,8.0,8.0,True
flow,1d,True,120,138,72,66,52.17,4.82,-3.19,0.9899,1.6347,44.2,4.4204,11.93,2.9203,26.0,3,2.278,1814.09,0.0,0.25,49.95,81.3,0.0,4.4204,44.2,0.0828,1.5,1.0,8.0,8.0,False
flow,1d,True,120,136,70,66,51.47,4.74,-3.25,0.8663,1.5365,38.02,3.8017,11.93,2.5401,26.2,3,2.289,1829.472,1.94,0.27,50.08,81.4,0.0,3.8017,38.02,0.0816,1.5,1.0,8.0,12.0,True
flow,1d,True,120,138,71,67,51.45,4.78,-3.16,0.9211,1.5856,41.07,4.1069,11.93,2.7196,26.2,3,2.278,1814.09,0.0,0.25,50.04,81.3,0.0,4.1069,41.07,0.0828,1.5,1.0,8.0,12.0,False
flow,1d,True,120,135,70,65,51.85,4.85,-3.27,0.9391,1.5823,40.98,4.0979,11.93,2.74,26.0,3,2.295,1840.317,1.94,0.27,49.98,80.8,0.0,4.0979,40.98,0.081,1.5,2.0,4.0,8.0,True
flow,1d,True,120,137,71,66,51.82,4.88,-3.19,0.9932,1.6322,44.03,4.4032,11.93,2.9186,26.0,3,2.284,1824.664,0.0,0.25,49.94,80.7,0.0,4.4032,44.03,0.0822,1.5,2.0,4.0,8.0,False
flow,1d,True,120,135,69,66,51.11,4.8,-3.25,0.8688,1.5341,37.84,3.7845,11.93,2.537,26.2,3,2.295,1840.317,1.94,0.27,50.07,80.8,0.0,3.7845,37.84,0.081,1.5,2.0,4.0,12.0,True
flow,1d,True,120,137,70,67,51.09,4.84,-3.16,0.9239,1.5831,40.9,4.0897,11.93,2.7171,26.2,3,2.284,1824.664,0.0,0.25,50.03,80.7,0.0,4.0897,40.9,0.0822,1.5,2.0,4.0,12.0,False
flow,1d,True,120,135,70,65,51.85,4.85,-3.27,0.9391,1.5823,40.98,4.0979,11.93,2.74,26.0,3,2.295,1840.317,1.94,0.27,49.98,80.8,0.0,4.0979,40.98,0.081,1.5,2.0,6.0,8.0,True
flow,1d,True,120,137,71,66,51.82,4.88,-3.19,0.9932,1.6322,44.03,4.4032,11.93,2.9186,26.0,3,2.284,1824.664,0.0,0.25,49.94,80.7,0.0,4.4032,44.03,0.0822,1.5,2.0,6.0,8.0,False
flow,1d,True,120,135,69,66,51.11,4.8,-3.25,0.8688,1.5341,37.84,3.7845,11.93,2.537,26.2,3,2.295,1840.317,1.94,0.27,50.07,80.8,0.0,3.7845,37.84,0.081,1.5,2.0,6.0,12.0,True
flow,1d,True,120,137,70,67,51.09,4.84,-3.16,0.9239,1.5831,40.9,4.0897,11.93,2.7171,26.2,3,2.284,1824.664,0.0,0.25,50.03,80.7,0.0,4.0897,40.9,0.0822,1.5,2.0,6.0,12.0,False
flow,1d,True,120,135,70,65,51.85,4.85,-3.27,0.9391,1.5823,40.98,4.0979,11.93,2.74,26.0,3,2.295,1840.317,1.94,0.27,49.98,80.8,0.0,4.0979,40.98,0.081,1.5,2.0,8.0,8.0,True
flow,1d,True,120,137,71,66,51.82,4.88,-3.19,0.9932,1.6322,44.03,4.4032,11.93,2.9186,26.0,3,2.284,1824.664,0.0,0.25,49.94,80.7,0.0,4.4032,44.03,0.0822,1.5,2.0,8.0,8.0,False
flow,1d,True,120,135,69,66,51.11,4.8,-3.25,0.8688,1.5341,37.84,3.7845,11.93,2.537,26.2,3,2.295,1840.317,1.94,0.27,50.07,80.8,0.0,3.7845,37.84,0.081,1.5,2.0,8.0,12.0,True
